"company_name","mth_yr","has_second","no_second"
"Accellos","Nov-2006",0,1
"Accentia Biopharmaceuticals Inc","Jun-2013",0,1
"Accept Software","Sep-2005",0,1
"Accera","Jun-2004",0,1
"Accertify","Jun-2008",0,1
"Access Network","Apr-2010",0,1
"Acclaimd","Jun-2012",1,0
"Acco Brands","Feb-2007",0,1
"Accordent Technologies","Mar-2006",0,1
"AccountNow","Aug-2004",0,1
"Accruit","Jul-2008",0,1
"Accu-Break Pharmaceuticals","May-2013",0,1
"AccuDraft","Dec-2006",0,1
"AccuRev","Mar-2005",0,1
"Accuhealth Partners","Feb-2011",0,1
"Accumetrics","Dec-2009",0,1
"Accupost Corporation","Aug-2002",0,1
"Accurence","Nov-2011",0,1
"Accuri Cytometers","Mar-2005",0,1
"Ace Metrix","Aug-2008",0,1
"Acera Surgical","Aug-2013",0,1
"Acertiv","Oct-2012",0,1
"Acetylon Pharmaceuticals","Jan-2010",1,0
"Achates Power","Oct-2009",0,1
"AchieveIt Online","Sep-2013",1,0
"AchieveMint","Jan-2012",0,1
"Achievers","Jul-2008",0,1
"Achronix Semiconductor","Jan-2007",0,1
"Aclaris Therapeutics","Oct-2012",0,1
"Acopio","Apr-2012",0,1
"Acorio","Apr-2013",0,1
"Acquaintable","Jan-2013",0,1
"Acquia","Dec-2007",0,1
"Acronym Media, Inc.","Sep-2001",0,1
"Actacell","Nov-2009",1,0
"Actifio","Jul-2010",0,1
"Actimis Pharmaceuticals","Apr-2005",0,1
"Action Engine","May-2000",0,1
"ActionX","Sep-2013",0,1
"Activate Healthcare","Jan-2012",0,1
"Activate Networks","Aug-2010",1,0
"Active Endpoints","Aug-2004",0,1
"Active Life Scientific","May-2013",0,1
"Active Storage","Nov-2009",0,1
"ActiveTrak","Mar-2010",0,1
"Actively Learn","Sep-2013",0,1
"Acton Pharmaceuticals","Sep-2010",1,0
"Acumen Holdings","Dec-2010",0,1
"Acumen Pharmaceuticals","May-2013",0,1
"Acupera","Aug-2011",0,1
"Acylin Therapeutics","Jun-2012",1,0
"Ad Infuse","Jun-2006",1,0
"Ad Knights","Mar-2010",0,1
"AdBuddy","Sep-2012",0,1
"AdCare Health Systems","Apr-2012",0,1
"AdECN","Feb-2006",0,1
"AdGent Digital","Mar-2008",1,0
"AdGrok","Mar-2011",1,0
"AdKeeper","Sep-2010",0,1
"AdMob","Sep-2006",0,1
"AdMobius","Jan-2012",0,1
"AdNectar","Aug-2008",0,1
"AdReady","Jul-2007",0,1
"AdRocket","May-2009",0,1
"AdRoll","Sep-2008",1,0
"AdStack","Apr-2011",1,0
"AdStage","Jun-2013",1,0
"AdTheorent","Sep-2013",0,1
"AdVantage Networks","Nov-2011",1,0
"AdXpose","Feb-2007",0,1
"AdYapper","Sep-2013",0,1
"Adagio Medical","Mar-2013",0,1
"Adama Materials","Sep-2010",1,0
"Adams Arms","Jul-2012",0,1
"Adap.tv","Jul-2007",1,0
"Adapt Technologies","Jun-2005",0,1
"Adapteva","Oct-2009",0,1
"Adaptive Computing","Sep-2010",0,1
"Adaptive Ozone Solutions","Jun-2008",0,1
"Adaptive TCR","Mar-2010",0,1
"AdaptiveBlue","Feb-2007",0,1
"Adaptivity","Oct-2010",1,0
"Adaptly","Apr-2011",1,0
"Adapx","Dec-2007",0,1
"Adara Media","Feb-2006",0,1
"Adarza BioSystems","Jul-2013",0,1
"Adcade","Nov-2012",0,1
"Adchemy","May-2005",1,0
"AddMyBest","Jan-2009",0,1
"AddThis","May-2006",0,1
"Addepar","Jun-2011",0,1
"AddonTV","Jan-2011",0,1
"Addoway","Dec-2009",0,1
"Addvocate","Jul-2013",0,1
"Addy","Sep-2013",0,1
"Adelphic Mobile","Dec-2012",1,0
"Adept Cloud","Nov-2012",0,1
"Adesto Technologies","Oct-2012",0,1
"AdexLink","Jun-2011",0,1
"Adfora, Inc.","Mar-2010",0,1
"AdhereTech","Sep-2013",1,0
"AdiCyte","Mar-2013",1,0
"Adify","Aug-2006",0,1
"Adility","Sep-2011",0,1
"Adimab","Jul-2007",1,0
"Adioso","Apr-2010",1,0
"Adisn","Aug-2008",0,1
"Adknowledge","Mar-2006",0,1
"Adly","Oct-2009",0,1
"Adlyfe","Jan-2006",0,1
"Admeld","Nov-2008",0,1
"Admitted.ly","Jul-2013",1,0
"Adnavance Technologies","Nov-2005",0,1
"AdoTube","Apr-2008",1,0
"Adometry","Oct-2009",1,0
"Adore Me","Nov-2011",1,0
"AdsNative","May-2013",0,1
"Adteractive","Jan-2011",0,1
"Adtile Inc.","May-2013",0,1
"Adtuitive","Feb-2009",0,1
"Aductions","Jul-2007",0,1
"Adura Technologies","Oct-2008",0,1
"Aduro BioTech","Dec-2011",0,1
"Advaliant","Apr-2004",0,1
"Advanced Cell Diagnostics","Sep-2009",0,1
"Advanced Chip Express","Apr-2007",0,1
"Advanced Circulatory","Jul-2013",0,1
"Advanced Inquiry Systems Inc.","Nov-2005",0,1
"Advanced Life Wellness Institute","Jun-2012",0,1
"Advanced Marketing & Media Group","Feb-2007",0,1
"Advanced Mobile Solutions","Jan-2008",0,1
"Advanced Power Projects","Mar-2008",0,1
"Advanced Proteome Therapeutics","Feb-2013",1,0
"Advanced TeleSensors","Jan-2010",0,1
"Advaxis","May-2012",1,0
"Advebs","Dec-2008",0,1
"AdventEnna","Jun-2007",0,1
"AdventureDrop","May-2008",0,1
"AdventureLink Travel Inc.","Feb-2009",0,1
"AdverCar","Oct-2012",0,1
"Advice Company","Jan-2005",1,0
"Advice Wallet","Feb-2013",1,0
"AdviceIQ","Apr-2013",0,1
"Adynxx","Jan-2011",0,1
"Adype","Jan-2011",0,1
"Adzerk","Jul-2011",0,1
"Adzilla","Aug-2007",0,1
"Aegis Identity Software","Aug-2011",0,1
"Aehr Test Systems","Mar-2013",0,1
"Aereo","Feb-2012",1,0
"Aeria Games & Entertainment","Oct-2007",0,1
"Aerial BioPharma","Feb-2013",0,1
"Aerify Media","Jan-2010",0,1
"AeroFS","Sep-2011",0,1
"AeroFarms","Feb-2010",0,1
"Aerohive Networks","Jul-2006",0,1
"Aerpio Therapeutics","Aug-2012",0,1
"Afferent Pharmaceuticals","Dec-2009",0,1
"Affinity Circles","Dec-2004",0,1
"Affinity Labs","Jan-2006",0,1
"Affinity.com","Jan-2002",1,0
"Affomix Corporation","Feb-2008",0,1
"Affordit.com","Dec-2009",0,1
"AgBiome","Apr-2013",0,1
"Agari Data","Nov-2011",0,1
"Agency Entourage","Jan-2009",0,1
"Agency Spotter","Nov-2012",0,1
"Agentek","Mar-2008",0,1
"Aggredyne","Apr-2012",0,1
"Aggregate Knowledge","Feb-2013",1,0
"Agiftidea.com","Jan-2012",0,1
"AgilOne","Jan-2011",0,1
"Agile Diagnosis","Jun-2012",0,1
"Agile Health","Aug-2012",0,1
"Agiliance","Aug-2005",0,1
"Agily Networks","Apr-2007",0,1
"Aginova","Jan-2010",0,1
"Agistics","Nov-2005",0,1
"Agolo","Jun-2013",0,1
"Agoura Technologies","Sep-2005",0,1
"Agricultural Food Systems, LLC","Mar-2013",1,0
"Aha Mobile","Jun-2008",0,1
"Ahalogy","Feb-2013",1,0
"Aileron Therapeutic","Dec-2006",0,1
"AirCast Mobile","May-2011",0,1
"AirClic","Mar-2000",0,1
"AirTight Networks","Nov-2004",0,1
"AirWatch","May-2013",1,0
"AirXP","Mar-2013",0,1
"Airbnb","Nov-2010",1,0
"Airborne Media Group","Jan-2013",0,1
"Aireum","May-2013",0,1
"Airpush","Jan-2011",0,1
"Airship Ventures","May-2008",0,1
"Airside Mobile","Dec-2010",1,0
"Airspan Networks","Dec-2012",0,1
"Airware","May-2013",0,1
"Airway Therapeutics","Jun-2011",0,1
"Airy Labs","Jun-2011",1,0
"Aisle50","Aug-2013",0,1
"Akebia Therapeutics","Sep-2009",0,1
"Akermin","Feb-2013",1,0
"Akimbo","Jun-2003",0,1
"Akimbo Financial","May-2013",0,1
"Akorri Networks","May-2005",0,1
"Akros Silicon","Feb-2012",1,0
"Akshay Wellness","Oct-2011",0,1
"Aktana","Dec-2011",1,0
"Alawar Entertainment","Aug-2007",0,1
"Albeo Technologies","Feb-2008",1,0
"Albumatic","Mar-2013",0,1
"AlchemyAPI","Feb-2013",1,0
"Alcresta","Apr-2012",0,1
"Alcyone Lifesciences","Mar-2012",0,1
"Aldis","Oct-2007",0,1
"Alektrona","Feb-2012",0,1
"AlephCloud Systems","May-2012",0,1
"Alert Logic","Sep-2005",0,1
"AlertEnterprise","Feb-2009",0,1
"Alerts","Jul-2008",0,1
"Alexza Pharmaceuticals","Mar-2012",0,1
"AlgEvolve","Apr-2012",1,0
"Algentis","Jan-2007",0,1
"Alicanto","Apr-2012",0,1
"Alice.com","Oct-2010",0,1
"AlienVault","Jan-2012",1,0
"Alignent Software","Mar-2005",0,1
"Alios BioPharma","Feb-2009",1,0
"AliveCor","Aug-2011",0,1
"AllDigital","Nov-2011",0,1
"AllTrails","Sep-2010",1,0
"Allegory Law","Mar-2013",0,1
"Allegro Development Corporation","Jan-2008",0,1
"Allegro Diagnostics","Jul-2011",0,1
"Allena Pharmaceuticals","Nov-2011",0,1
"AlleyWatch","Oct-2012",0,1
"Allied Payment Network","Feb-2013",0,1
"Allied Resource Corporation","Jun-2008",0,1
"Allin corporation","Aug-2013",0,1
"Alliqua","Nov-2012",1,0
"Allmoxy","Jun-2012",0,1
"Alloy Digital","Mar-2013",0,1
"Allozyne","Dec-2005",0,1
"Alltuition","Jun-2010",1,0
"Allvoices","Jul-2006",0,1
"Allworx","Aug-2005",0,1
"Almost Family","Jul-2012",0,1
"Alnara Pharmaceuticals","Oct-2008",0,1
"Alohar Mobile","Apr-2011",1,0
"Aloompa","Jun-2013",0,1
"Alorum","Aug-2013",0,1
"AlphaBoost","May-2012",0,1
"AlphaClone","Feb-2008",1,0
"AlphaNation","Mar-2011",1,0
"AlphaStripe","Nov-2012",0,1
"Alphabet Energy","May-2010",1,0
"Alpine Data Labs","May-2011",0,1
"Alt12 Apps","Apr-2012",0,1
"Altar","May-2012",0,1
"Altavoz","Sep-2012",1,0
"Alter-G","Jun-2008",1,0
"AlterPoint","Jan-2003",0,1
"Altermune Technologies","Sep-2011",0,1
"Alteryx, Inc.","May-2013",1,0
"AltheaDx","Jun-2013",0,1
"Altheos","Feb-2012",1,0
"Altheus Therapeutics","Dec-2011",1,0
"Altierre","Jan-2005",0,1
"Altitude Digital","Dec-2010",0,1
"Altius Education","Sep-2009",0,1
"Altor Networks","Apr-2008",0,1
"Altos Design Automation","Jan-2007",0,1
"Altruik","Nov-2009",0,1
"Altschool","Aug-2013",0,1
"Altura Medical","Jun-2010",1,0
"AlumniFunder","Nov-2012",0,1
"Alverix","Feb-2008",0,1
"Alvine Pharmaceuticals","Sep-2006",1,0
"Always Prepped","Nov-2012",0,1
"Amadesa","Dec-2007",0,1
"Amara Health Analytics","Aug-2013",0,1
"Amarantus BioSciences","Aug-2013",0,1
"Ambassador","Jan-2011",1,0
"AmberWave","Jan-2012",0,1
"Ambio Health","Jul-2012",1,0
"Ambiq Micro","Feb-2012",1,0
"Amedica","Mar-2013",0,1
"American BioCare","Jan-2012",0,1
"American Biomass","May-2008",0,1
"American Civics Exchange","Aug-2012",0,1
"American Gene Technologies International","Sep-2013",0,1
"American Hometec","Sep-2008",0,1
"American Medical CO-OP","Aug-2013",0,1
"American Renal Associates Holdings","Nov-2011",0,1
"American Well","Jun-2012",0,1
"AmericanTowns.com","Jul-2006",0,1
"Amiato","Jul-2012",0,1
"Amicus","Nov-2012",1,0
"Amie Street","Aug-2007",0,1
"Amitive","Aug-2006",0,1
"Amobee","Nov-2006",0,1
"Amonix","Nov-2009",0,1
"Amphivena Therapeutics","Jul-2013",0,1
"Ampla Pharmaceuticals","Dec-2006",0,1
"Amplifinity","Dec-2011",0,1
"Amplify Health","Jun-2013",0,1
"Amplimmune","Jan-2006",0,1
"Ampulse","Nov-2009",0,1
"Amulet Pharmaceuticals","Mar-2007",0,1
"Amvona","Oct-2006",0,1
"Amyris Biotechnologies","Oct-2006",0,1
"Anafore","May-2011",0,1
"Anametrix","Oct-2012",0,1
"Anaphore","Jun-2009",0,1
"AnaptysBio","Jul-2006",0,1
"Anchor Bay Technologies","May-2003",0,1
"Anchor Intelligence","Jan-2007",0,1
"AnchorFree","Jan-2006",0,1
"","Apr-2011",0,1
"Anedot","Jun-2012",1,0
"Angle","Jun-2011",1,0
"Angstro","May-2007",0,1
"Animoto","Aug-2007",0,1
"Ankeena Networks","Aug-2008",0,1
"Annovation BioPharma","Sep-2012",0,1
"Anomaly Innovations","Jan-2010",0,1
"Anomo","Jun-2013",0,1
"Anonymous You","Feb-2010",0,1
"AnovaStorm","Oct-2010",0,1
"AnsibleWorks","Aug-2013",0,1
"Answerology","Jan-2006",0,1
"Answers Corporation","Jan-2008",1,0
"Antegrin Therapeutics","Apr-2013",0,1
"Antengo","Jan-2010",0,1
"Anthillz","Sep-2008",0,1
"Anvato","Dec-2008",1,0
"AnyPerk","Jan-2012",1,0
"AnyPresence","Jul-2011",0,1
"AnySource Media","Mar-2009",0,1
"AnyVivo","Mar-2012",0,1
"Anyvite","Jun-2008",0,1
"Anywhere.FM","Jun-2007",0,1
"ApaceWave Technologies","Feb-2006",0,1
"Apama Medical","Jan-2010",1,0
"Apcera","May-2012",1,0
"Apellis Pharmaceuticals","Jan-2012",0,1
"Apexigen","Aug-2013",0,1
"Apiary","Sep-2013",1,0
"Apieron","Jan-2003",0,1
"Apigee","Apr-2005",0,1
"Apiphany","Jul-2012",0,1
"Apisphere","Jan-2010",0,1
"Apixio","Dec-2009",0,1
"Aplicor","Sep-2011",0,1
"Aplos Software","Feb-2012",1,0
"Apollidon","Apr-2011",0,1
"App.net","Aug-2013",1,0
"App47","May-2012",1,0
"AppAddictive","Jan-2012",0,1
"AppAssure Software","May-2008",0,1
"AppBarbecue Inc.","Jul-2011",0,1
"AppBrick","May-2011",0,1
"AppCard","Jan-2012",0,1
"AppCentral, Inc.","Sep-2010",0,1
"AppDirect","Jul-2012",1,0
"AppDynamics","Jan-2008",0,1
"AppFirst","Sep-2011",1,0
"AppFog","Jan-2011",0,1
"AppIterate.com","Jul-2013",0,1
"AppJet","Aug-2007",1,0
"AppLovin","Dec-2012",0,1
"AppMesh","Sep-2013",1,0
"AppNexus","Dec-2007",0,1
"AppRedeem","Jun-2011",0,1
"AppSame","Mar-2011",0,1
"AppScale Systems","Oct-2012",0,1
"AppStack","Mar-2012",0,1
"AppTank","Jan-2011",0,1
"AppTap","Jan-2012",0,1
"AppThwack","Mar-2013",0,1
"AppVault","Jan-2004",0,1
"Apparity","Apr-2012",0,1
"Appature","Dec-2009",0,1
"Appbistro","Aug-2010",1,0
"Appboy","Nov-2011",1,0
"Appcara Inc","Jan-2012",0,1
"Appcelerator","Dec-2008",1,0
"Appconomy","Dec-2010",0,1
"Appcore","Nov-2009",1,0
"Apperian","Jul-2009",0,1
"Appfluent Technology","Apr-2005",0,1
"Appia","Jun-2008",0,1
"Appian","Jul-2008",0,1
"Appington","Jun-2013",0,1
"Appiphany","Jul-2012",0,1
"Appirio","Mar-2008",0,1
"Appistry","Oct-2005",0,1
"Application Experts","May-2008",0,1
"Applico","Dec-2010",0,1
"Applied Bioresearch","Sep-2012",0,1
"Applied Identity","Jan-2005",0,1
"Applied Quantum Technologies","Jan-2007",0,1
"ApplyKit","Oct-2012",0,1
"Appnomic Systems","Jan-2009",0,1
"AppointmentCity","Oct-2009",0,1
"Appolicious","Dec-2009",0,1
"Apportable","Jul-2013",0,1
"Apprenda","Nov-2009",0,1
"Apprion","Jan-2006",0,1
"Approva","Apr-2003",1,0
"Appscio","Mar-2007",1,0
"Appsembler","Jan-2012",0,1
"Appstores.com","Aug-2011",1,0
"Apptentive","Aug-2012",1,0
"ApptheGame","Aug-2012",0,1
"Appthority","May-2012",0,1
"Apptio","Nov-2007",0,1
"Apptive","Jun-2013",0,1
"Apptopia","Jul-2012",1,0
"Appurify","May-2013",1,0
"Appy Couple","Oct-2012",1,0
"AppyZoo","Jan-2011",1,0
"Apsalar","Nov-2010",1,0
"Aptela","Jan-2006",0,1
"Aptidata","Aug-2012",0,1
"Apttus","Sep-2013",0,1
"Apture","Jul-2007",1,0
"Aptus Endosystems","Aug-2010",0,1
"AquaMost","Oct-2010",0,1
"Aquantia","Sep-2005",0,1
"Aragon Consulting Group","May-2008",0,1
"Aragon Pharmaceuticals","May-2009",0,1
"Aratana Therapeutics","Jan-2011",0,1
"Arbor Photonics","Nov-2007",0,1
"ArcSight","Jan-2000",0,1
"ArcaNatura LLC","Jun-2011",0,1
"Arcametrics Systems, Inc.","Jan-2013",0,1
"Arch Rock Corporation","Oct-2005",0,1
"Arch Therapeutics","Jul-2013",0,1
"ArchiveSocial","Mar-2012",1,0
"Arcot Systems","May-2005",0,1
"Arcturus Therapeutics","Jun-2013",0,1
"Ardian","Jan-2005",0,1
"Ardmore Regional Surgery Center","Dec-2011",0,1
"Are You a Human","Jul-2011",0,1
"Arena Pharmaceuticals","Jun-2009",0,1
"Argolyn Bioscience","Jun-2007",0,1
"Argus Insights","May-2010",0,1
"Argyle Social","Aug-2011",1,0
"Aria Systems","Nov-2007",0,1
"Arigo","Dec-2007",0,1
"Arisdyne Systems","Jun-2008",0,1
"Ariste Medical","Oct-2012",0,1
"Aristotle Circle","Aug-2010",0,1
"Ark","Apr-2012",1,0
"Arkadium","Sep-2002",1,0
"Arkami","Aug-2013",0,1
"Arkeo","Dec-2012",0,1
"ArmaGen Technologies","Nov-2012",0,1
"ArmedZilla","Oct-2009",0,1
"Armor5","Feb-2013",0,1
"Arno Therapeutics","Dec-2012",0,1
"Array Bridge","Jan-2011",0,1
"Array Health Solutions","Mar-2013",0,1
"Arrayent Health","Aug-2013",0,1
"Arrien Pharmaceuticals","Sep-2011",0,1
"Arroweye Solutions","Jun-2006",0,1
"Art.com","Apr-2004",1,0
"ArthroCAD","Jan-2013",0,1
"Article One Partners","Dec-2009",0,1
"Artify It","Apr-2012",0,1
"Artisan Mobile","Apr-2012",1,0
"Artisan Pharma","Sep-2006",0,1
"Artist Growth","Mar-2013",0,1
"ArtistForce","Sep-2007",1,0
"ArtsApp","May-2009",0,1
"Artsicle","Nov-2011",0,1
"Artspace","Jan-2012",0,1
"Artsy","Nov-2010",1,0
"Aruspex","Jun-2008",0,1
"Arvinas","Sep-2013",0,1
"Aryaka Networks","Sep-2010",0,1
"As It Is","Feb-2008",0,1
"Asana","Sep-2008",1,0
"Ascalon International","Dec-2011",0,1
"Ascend Acquisition","Jul-2013",0,1
"Ascender Software","Nov-2011",0,1
"Ascendify","Apr-2013",0,1
"Ascendx Spine","Apr-2012",0,1
"Ascent Solar Technologies","Aug-2013",1,0
"Ascent Therapeutics","Nov-2007",0,1
"Ascletis","Apr-2011",0,1
"Askablogr","Jan-2008",0,1
"Aspire Health","Aug-2013",0,1
"Assay Depot","Oct-2007",1,0
"Assembla","May-2007",0,1
"Assistera","Mar-2011",0,1
"Associated Content","Jan-2006",0,1
"AssureRx Health","Jan-2011",0,1
"Assured Labor","Apr-2010",1,0
"Assurz","Jan-2006",0,1
"Aster Data Systems","May-2007",1,0
"Asteres","Sep-2003",0,1
"Astound Labs","May-2012",0,1
"Astrid","Apr-2012",0,1
"Astro Ape","Sep-2010",0,1
"AstroloMe","Apr-2011",0,1
"Astute Medical","May-2008",0,1
"Asuragen","Jun-2006",0,1
"At The Pool","Nov-2012",0,1
"AtTask","Jun-2007",0,1
"Atavist","Oct-2012",0,1
"Aternity","Feb-2005",0,1
"Athena Feminine Technologies","Sep-2009",0,1
"Athenix","Sep-2001",0,1
"AtheroNova","Apr-2011",0,1
"Athigo","Jan-2011",0,1
"Athletic Standard","Jan-2011",0,1
"Atigeo","Feb-2010",0,1
"Atilekt","Jul-2011",0,1
"Atlanta Micro","Jun-2013",0,1
"Atlas Learning","May-2013",0,1
"Atlas Powered","Dec-2012",0,1
"Atlas Scientific","Aug-2013",0,1
"Atmospheir","Feb-2013",0,1
"Atom Entertainment","Mar-2001",0,1
"Atomic Moguls","Feb-2007",0,1
"Atooma","Mar-2012",1,0
"Attachments.me","Mar-2011",1,0
"Attendify","Sep-2013",0,1
"Attendware","Jun-2013",0,1
"Attention Sciences","Sep-2009",0,1
"Atterocor","Aug-2012",0,1
"Atticous","Apr-2012",0,1
"Attivio","Oct-2012",0,1
"AttorneyFee","Jul-2011",0,1
"Attracta","Aug-2009",0,1
"Attributor","Jan-2006",0,1
"Auction Edge","May-2012",0,1
"Auction.com","Aug-2012",0,1
"Auctomatic","Jan-2007",1,0
"Audience.fm","May-2013",0,1
"AudioCaseFiles","Oct-2007",0,1
"AudioMicro","Oct-2008",0,1
"AudioName","Nov-2011",1,0
"AudioTag","Jan-2012",0,1
"Audioair","Sep-2012",0,1
"Audiolife","Nov-2007",1,0
"Audiosocket","Sep-2009",1,0
"AuditFile.com","Feb-2013",1,0
"Augme Technologies","Jun-2012",0,1
"Augmedix","Jul-2013",1,0
"Augur","May-2013",0,1
"Aura Biosciences","Sep-2010",1,0
"Aurora Biofuels","Jan-2007",0,1
"Ausra","Sep-2007",0,1
"AutekBio","Aug-2007",0,1
"Authenticlick","Feb-2006",0,1
"Authentidate Holding","Jun-2013",0,1
"Authentium","Apr-2006",0,1
"Authentix","Oct-2011",1,0
"Authernative","Apr-2006",0,1
"Authorly","Oct-2012",0,1
"AutoBike","Mar-2013",0,1
"AutoGenomics","Jan-2013",0,1
"AutoRef.com","Jun-2012",1,0
"AutoShag","Apr-2012",0,1
"AutoVirt","Jan-2008",1,0
"AutoWeb, Inc.","Sep-2013",0,1
"Automated Insights","Sep-2011",1,0
"Automattic","Oct-2005",0,1
"Autonomic Technologies","Jan-2008",0,1
"Auxogyn","Feb-2012",0,1
"Avaak","Oct-2008",0,1
"Avalon Healthcare Holdings","Feb-2005",0,1
"AvanSci Bio","Oct-2011",1,0
"AvantCredit","May-2013",0,1
"Avaxia Biologics","Feb-2012",0,1
"Avectra","Oct-2007",0,1
"Avegant","Jul-2013",0,1
"Aveksa","Jun-2006",0,1
"Avelas Biosciences","Dec-2012",0,1
