place,visited,lat,lon
Melbourne,1,-37.8136,144.9631
Philip Island,1,-38.4899,145.2038
Adelaide,1,-34.9285,138.6007
Kangaroo Island,1,-35.7752,137.2142
Cairns,1,-16.9186,145.7781
Sydney,1,-33.8688,151.2093
Blue Mountains,1,-33.41,150.3037
