place,visited,lat,lon
Meteora,1,39.7214,21.6336
Santorini,1,36.3932,25.4615
Naxos,1,37.1036,25.3777
Thessaloniki,1,40.6401,22.9444
Delphi,1,38.4824,22.501
Mycenae,1,37.7309,22.7561
Hydra,1,37.3288,23.4717
Argos,1,37.6352,22.7289
Argive Heraion,1,37.692,22.775
Dion,1,40.1711,22.4832
Ancient Corinth,1,37.9072,22.8814
Temple of Poseidon,1,37.6592,24.0148
Rhamnous,1,38.22333,24.02722
Olympia,1,37.6385,21.6299
Temple of Aphaia,1,37.7543,23.5331
Nafplio,1,37.5673,22.8016
